"Time, hr",Compound A,Compound B,Compound C,Compound D,Compound E,Compound F,Compound G,Compound H,Compound I
623.11,0.278188078,-3.326458661,-0.8194448,0.606922493,-0.332508656,-0.057426432,-0.477727695,0.369094481,0.021855809
623.21,0.278212871,-3.32645843,-0.8194448,0.606922493,-0.332512183,-0.057422912,-0.477722512,0.369094481,0.021855809
623.31,0.278245715,-3.326458199,-0.819444801,0.606922494,-0.332515711,-0.057420146,-0.477717312,0.369094481,0.021855809
623.41,0.278283906,-3.326457968,-0.819444801,0.606922494,-0.332519238,-0.057417379,-0.477712111,0.369094481,0.021855809
623.51,0.278325357,-3.326457736,-0.819444801,0.606922495,-0.332522765,-0.057415665,-0.47770691,0.369094481,0.021855809
623.61,0.278367982,-3.326457505,-0.819444802,0.606922495,-0.332526293,-0.057415528,-0.47770171,0.369094481,0.021855809
623.71,0.278410735,-3.326457274,-0.819444802,0.606922496,-0.33252982,-0.057415392,-0.477696509,0.369094481,0.021855809
623.81,0.278453488,-3.326457042,-0.819444803,0.606922496,-0.332533347,-0.057415255,-0.477691308,0.369094481,0.021855809
623.91,0.278494649,-3.326456811,-0.819444803,0.606922497,-0.332536874,-0.057417125,-0.477692371,0.369094481,0.021855809
624.01,0.27853158,-3.32645658,-0.819444803,0.606922497,-0.332540402,-0.057419218,-0.477694129,0.369094481,0.021855809
624.11,0.278562886,-3.326456348,-0.819444804,0.606922498,-0.332543929,-0.057421311,-0.477695888,0.369094481,0.021855809
624.21,0.278588645,-3.326456117,-0.819444804,0.606922498,-0.332547456,-0.057423404,-0.477697646,0.369094481,0.021855809
624.31,0.278608377,-3.326455886,-0.819444805,0.606922498,-0.332550983,-0.057425679,-0.477699405,0.369094481,0.021855809
624.41,0.278622142,-3.326455654,-0.819444805,0.606922499,-0.332551465,-0.057428136,-0.477701163,0.369094481,0.021855809
624.51,0.278629786,-3.326455423,-0.819444806,0.606922499,-0.332551947,-0.057430594,-0.477702922,0.369094481,0.021855809
624.61,0.278631368,-3.326455192,-0.819444806,0.6069225,-0.332552429,-0.057433051,-0.47770468,0.369094481,0.021855809
624.71,0.278627703,-3.32645496,-0.819444806,0.6069225,-0.332552911,-0.057435509,-0.477706439,0.369094481,0.021855809
624.81,0.278618781,-3.326454729,-0.819444807,0.606922501,-0.332553392,-0.057437966,-0.477708197,0.369094481,0.021855809
624.91,0.278605616,-3.326454498,-0.819444807,0.606922501,-0.332553874,-0.057440424,-0.477709956,0.369094481,0.021855809
625.01,0.278589144,-3.326454267,-0.819444808,0.606922502,-0.332554356,-0.057442881,-0.477711714,0.369094481,0.021855809
625.11,0.27856914,-3.326454035,-0.819444808,0.606922502,-0.332554838,-0.057445338,-0.477713473,0.369094481,0.021855809
625.21,0.278549136,-3.326453804,-0.819444808,0.606922503,-0.332555319,-0.057447796,-0.477715231,0.369094481,0.021855809
625.31,0.278528573,-3.326453573,-0.819444809,0.606922503,-0.332555801,-0.057449358,-0.47771699,0.369094481,0.021855809
625.41,0.278507949,-3.326453341,-0.819444809,0.606922504,-0.332556283,-0.057449579,-0.477718749,0.369094481,0.021855809
625.51,0.278487324,-3.32645311,-0.81944481,0.606922504,-0.332556765,-0.057449799,-0.477720507,0.369094481,0.021855809
625.61,0.2784667,-3.326452879,-0.81944481,0.606922504,-0.332557247,-0.057450019,-0.477722266,0.369094481,0.021855809
625.71,0.278450625,-3.326452647,-0.819444811,0.606922505,-0.332557728,-0.057450239,-0.477724024,0.369094481,0.021855809
625.81,0.278436293,-3.326452416,-0.819444811,0.606922505,-0.33255821,-0.05745019,-0.477725783,0.369094481,0.021855809
625.91,0.278424576,-3.326452185,-0.819444811,0.606922506,-0.332558692,-0.057449065,-0.477727541,0.369094481,0.021855809
626.01,0.278416645,-3.326451953,-0.819444812,0.606922506,-0.332559174,-0.057447939,-0.4777293,0.369094481,0.021855809
626.11,0.278411394,-3.326451722,-0.819444812,0.606922507,-0.332559655,-0.057446813,-0.477731058,0.369094481,0.021855809
626.21,0.278408402,-3.326451491,-0.819444813,0.606922507,-0.332560137,-0.057445688,-0.477732817,0.369094481,0.021855809
626.31,0.278410103,-3.326451259,-0.819444813,0.606922508,-0.332560619,-0.057444562,-0.477734575,0.369094481,0.021855809
626.41,0.278413405,-3.326451028,-0.819444814,0.606922508,-0.332561101,-0.057443437,-0.477736334,0.369094481,0.021855809
626.51,0.278419106,-3.326450797,-0.819444814,0.606922509,-0.332561583,-0.057442311,-0.477736091,0.369094481,0.021855809
626.61,0.278426873,-3.326450566,-0.819444814,0.606922509,-0.332562064,-0.057441317,-0.477735848,0.369094481,0.021855809
626.71,0.278435527,-3.326450334,-0.819444815,0.606922509,-0.332562546,-0.057440628,-0.477735605,0.369094481,0.021855809
626.81,0.278446015,-3.326450103,-0.819444815,0.60692251,-0.332563028,-0.05743994,-0.477735362,0.369094481,0.021855809
